Sc,SpAc,response,rt,subj_idx,CE,SC,CE_squared,SC_squared
2,Sp,1,0.597,ppn11,0.1776175472,0.9048537371,0.0003798238,1.10459203488E-07
2,Sp,1,0.487,ppn11,0.1631998886,0.7662172176,0.0011496661,0.0193123478
2,Sp,1,0.471,ppn11,0.1779764055,0.8991724713,0.0003659649,3.61636235001E-05
2,Sp,1,0.349,ppn11,0.1641008823,1.0031867767,0.0010893784,0.0096041344
2,Sp,0,0.325,ppn11,0.2233625505,0.8837771733,0.0006893742,0.0004583418
2,Sp,1,0.426,ppn11,0.1571780062,1.0138270729,0.0015942938,0.0118028629
2,Sp,0,0.224,ppn11,0.1885718146,0.8243263578,7.2842816189E-05,0.0065382965
2,Sp,1,0.718,ppn11,0.189587118,0.7236550417,5.65428336539E-05,0.0329535219
2,Sp,1,0.559,ppn11,0.1566137998,0.8629343905,0.0016396681,0.0017852062
2,Sp,0,0.404,ppn11,0.217151237,0.7268575452,0.0004017869,0.0318010703
2,Sp,1,0.601,ppn11,0.1746093473,0.9507847065,0.000506127,0.0020792337
2,Sp,0,0.598,ppn11,0.2152490427,1.1059747999,0.0003291477,0.0403161056
2,Sp,1,0.451,ppn11,0.2098315293,0.7290584835,0.0001619234,0.0310209342
2,Sp,1,0.439,ppn11,0.17048101,0.8977883416,0.0007089228,5.47266981583E-05
2,Sp,1,0.545,ppn11,0.160374323,0.8960188067,0.0013492613,8.40391038821E-05
2,Sp,1,0.461,ppn11,0.1649185554,0.9367347193,0.0010360712,0.0009953159
2,Sp,1,0.368,ppn11,0.2081982312,0.9621306345,0.000123024,0.003242681
2,Sp,1,0.31,ppn11,0.1843639096,1.1099815696,0.0001623765,0.041941188
2,Sp,1,0.527,ppn11,0.2051685903,0.8825817913,6.49954473236E-05,0.0005109544
2,Sp,1,0.556,ppn11,0.2000720878,0.7060830572,0.000008794,0.0396420181
2,Sp,1,0.413,ppn11,0.1844754805,0.9056830728,0.0001595456,0.000000247
2,Sp,1,0.543,ppn11,0.1916615093,1.0508652853,2.96491750131E-05,0.0212224276
2,Sp,0,0.47,ppn11,0.1848145838,1.0221889301,0.000151094,0.0136896643
2,Sp,1,0.719,ppn11,0.1810492368,0.9509399769,0.0002578394,0.0020934181
2,Sp,1,0.499,ppn11,0.1832158148,0.9828748339,0.0001929543,0.0060355408
2,Sp,1,0.379,ppn11,0.1943276111,0.9725234707,7.72286212957E-06,0.0045343227
2,Sp,1,0.342,ppn11,0.2263517833,0.7449759872,0.0008552799,0.0256672774
2,Sp,0,0.445,ppn11,0.1632364474,0.9642365998,0.0011471882,0.0034869626
2,Sp,1,0.464,ppn11,0.2100739137,0.911251744,0.0001681508,3.67921446986E-05
2,Sp,1,0.427,ppn11,0.1524259583,0.936042036,0.0019963611,0.0009520893
2,Sp,0,0.533,ppn11,0.1724029332,0.8846950104,0.0006102719,0.0004198844
2,Sp,1,0.336,ppn11,0.1936227058,0.8053470253,1.21376226285E-05,0.0099678391
2,Sp,1,0.403,ppn11,0.1988217645,0.9322545453,2.94173814473E-06,0.0007327012
2,Sp,1,0.322,ppn11,0.185637855,0.8532612191,0.0001315325,0.0026961923
2,Sp,1,0.666,ppn11,0.2037114448,1.060447519,4.36237779862E-05,0.024106111
2,Sp,1,0.49,ppn11,0.2205422514,0.9657222447,0.0005492291,0.0036646259
2,Sp,0,0.194,ppn11,0.2235269572,0.8614136864,0.0006980345,0.0019160234
2,Sp,1,0.435,ppn11,0.1676100805,0.7893716687,0.0008700455,0.0134129804
2,Sp,1,0.471,ppn11,0.2015655086,0.7614729787,1.98817330132E-05,0.0206534587
2,Sp,1,0.385,ppn11,0.2191171611,0.7563950939,0.0004844641,0.0221387609
2,Sp,1,0.479,ppn11,0.2104440024,0.7198119158,0.0001778859,0.0343635849
2,Sp,1,0.487,ppn11,0.2110678249,0.9411121007,0.0001949154,0.0012906782
2,Sp,1,0.478,ppn11,0.1991295489,0.8745580368,4.09226196169E-06,0.0009380777
2,Sp,1,0.313,ppn11,0.2238842982,0.8313624959,0.0007170443,0.0054499232
2,Sp,0,0.479,ppn11,0.2204680097,0.9503978571,0.0005457548,0.0020441038
