,dier,Sc,lmh,SpAc,stimulus,stimulus_recoded_01,resp,correct,rt,subj_idx,CE,SC,CE_c,SC_c,CE_squared,SC_squared
149,nD,1,low,Sp,2,0,1,0,0.276,ppn11,0.1183371184,0.8483558565,-0.0787694965,-0.0568302346,0.0062046336,0.0032296756
150,D,1,low,Sp,1,1,1,1,0.27,ppn11,0.1358811814,0.8854424331,-0.0612254335,-0.019743658,0.0037485537,0.000389812
151,D,1,low,Sp,1,1,1,1,0.401,ppn11,0.1229009751,1.0213549423,-0.0742056398,0.1161688512,0.005506477,0.013495202
152,nD,1,low,Sp,2,0,0,1,0.433,ppn11,0.0987252331,0.7043121591,-0.0983813818,-0.200873932,0.0096788963,0.0403503366
153,D,1,low,Sp,1,1,0,0,1.205,ppn11,0.0985685226,0.698995351,-0.0985380923,-0.2061907401,0.0097097556,0.0425146213
154,nD,1,low,Sp,2,0,1,0,0.348,ppn11,0.0382923042,0.8292937703,-0.1588143107,-0.0758923208,0.0252219853,0.0057596444
155,nD,1,low,Sp,2,0,0,1,0.435,ppn11,0.080594995,0.7820373374,-0.1165116199,-0.1231487537,0.0135749576,0.0151656155
156,nD,1,low,Sp,2,0,0,1,0.443,ppn11,0.1215268036,1.0506937073,-0.0755798113,0.1455076162,0.0057123079,0.0211724664
157,D,2,med,Sp,1,1,0,0,0.324,ppn11,0.1774345978,0.9215673564,-0.0196720171,0.0163812653,0.0003869883,0.0002683459
158,D,2,med,Sp,1,1,0,0,0.285,ppn11,0.1963559394,0.7593750201,-0.0007506755,-0.145811071,5.63513708774E-07,0.0212608684
159,D,2,med,Sp,1,1,1,1,0.388,ppn11,0.1992632519,0.9072249661,0.002156637,0.002038875,4.65108314266E-06,4.157E-06
160,nD,2,med,Sp,2,0,1,0,0.343,ppn11,0.1982293433,0.977594465,0.0011227284,0.0724083739,1.26051905647E-06,0.0052429726
161,nD,2,med,Sp,2,0,0,1,0.553,ppn11,0.1587434178,0.79541193,-0.0383631971,-0.1097741611,0.0014717349,0.0120503665
162,nD,2,med,Sp,2,0,0,1,0.615,ppn11,0.182955492,0.9148166064,-0.0141511229,0.0096305153,0.0002002543,9.27468243011E-05
163,D,2,med,Sp,1,1,1,1,0.332,ppn11,0.217341206,0.765681047,0.0202345911,-0.1395050441,0.0004094387,0.0194616573
164,nD,2,med,Sp,2,0,0,1,0.455,ppn11,0.1754831989,0.8733952042,-0.021623416,-0.0317908869,0.0004675721,0.0010106605
165,nD,2,med,Sp,2,0,0,1,0.347,ppn11,0.2037696158,0.8752498541,0.0066630009,-0.029936237,4.43955809714E-05,0.0008961783
166,nD,2,med,Sp,2,0,0,1,0.402,ppn11,0.223869498,0.753932451,0.0267628831,-0.1512536401,0.0007162519,0.0228776637
167,nD,2,med,Sp,2,0,0,1,0.626,ppn11,0.2202074599,1.0343340421,0.023100845,0.129147951,0.000533649,0.0166791932
168,D,2,med,Sp,1,1,1,1,0.472,ppn11,0.1982722765,1.085620789,0.0011656616,0.1804346979,1.35876696187E-06,0.0325566802
169,D,2,med,Sp,1,1,1,1,0.509,ppn11,0.1637987239,0.9631979882,-0.033307891,0.0580118971,0.0011094156,0.0033653802
170,nD,2,med,Sp,2,0,0,1,0.461,ppn11,0.1634937972,1.007726862,-0.0336128177,0.1025407709,0.0011298215,0.0105146097
171,D,2,med,Sp,1,1,1,1,0.484,ppn11,0.1853048851,0.9462756171,-0.0118017298,0.041089526,0.0001392808,0.0016883491
172,nD,2,med,Sp,2,0,0,1,0.393,ppn11,0.1942037394,0.9163554521,-0.0029028755,0.011169361,8.42668617807E-06,0.0001247546
173,D,2,med,Sp,1,1,1,1,0.557,ppn11,0.2056712476,0.8953934841,0.0085646327,-0.009792607,7.33529332577E-05,9.58951525097E-05
174,nD,2,med,Sp,2,0,0,1,0.512,ppn11,0.174004734,0.7361481268,-0.0231018809,-0.1690379643,0.0005336969,0.0285738334
175,D,2,med,Sp,1,1,1,1,0.534,ppn11,0.1835738602,1.0439399222,-0.0135327547,0.1387538311,0.0001831354,0.0192526256
176,D,2,med,Sp,1,1,1,1,0.399,ppn11,0.1537390407,0.9967286491,-0.0433675742,0.091542558,0.0018807465,0.0083800399
177,D,2,med,Sp,1,1,1,1,0.514,ppn11,0.1961633531,0.9802367293,-0.0009432618,0.0750506382,8.89742826448E-07,0.0056325983
178,D,2,med,Sp,1,1,1,1,0.512,ppn11,0.1586068958,1.092184271,-0.0384997191,0.1869981799,0.0014822284,0.0349683193
179,nD,2,med,Sp,2,0,0,1,0.481,ppn11,0.1737900538,0.9755747509,-0.0233165611,0.0703886598,0.000543662,0.0049545634
180,nD,2,med,Sp,2,0,0,1,0.462,ppn11,0.1699236025,1.0477720991,-0.0271830124,0.142586008,0.0007389162,0.0203307697
181,nD,2,med,Sp,2,0,0,1,0.451,ppn11,0.2092165382,0.9005124076,0.0121099233,-0.0046736835,0.0001466502,2.184331777E-05
182,nD,2,med,Sp,2,0,0,1,0.434,ppn11,0.1558989375,0.9719355834,-0.0412076774,0.0667494923,0.0016980727,0.0044554947
183,nD,2,med,Sp,2,0,0,1,0.464,ppn11,0.2092493822,0.9569269401,0.0121427673,0.051740849,0.0001474468,0.0026771155
184,D,2,med,Sp,1,1,1,1,0.517,ppn11,0.1808909996,0.9606896196,-0.0162156153,0.0555035285,0.0002629462,0.0030806417
185,nD,2,med,Sp,2,0,0,1,0.345,ppn11,0.1550211322,1.01341631,-0.0420854827,0.1082302189,0.0017711879,0.0117137803
